Nombre de la cuenta,Naturaleza ampliada,Libros contables relevantes,Descripción
Comisiones por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Comisiones por cobrar
Comisiones ganadas,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Comisiones ganadas
Comisiones por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Comisiones por pagar
Comisiones sobre ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Comisiones sobre ventas
Crédito fiscal,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Crédito fiscal
Compras de materia prima,Activo/deudor,Balance General/Costo de Producción/Balance de Saldos,Representa un activo. Compras de materia prima
Construcciones,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Construcciones
Corresponsales (deudor),Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Corresponsales (deudor)
Corresponsales (acreedor),Pasivo/acreedor,Balance General/Balance de Saldos,Corresponsales (acreedor)
Correo teléfono y telégrafo,Gasto/deudor,Estado de Resultados/Balance de Saldos,Correo teléfono y telégrafo
Cuentas malas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Cuentas malas
Cuentas por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Cuentas por pagar
Cuentas por pagar comerciales,Pasivo/acreedor,Balance General/Balance de Saldos,Cuentas por pagar comerciales
Cuentas por pagar no comerciales,Pasivo/acreedor,Balance General/Balance de Saldos,Cuentas por pagar no comerciales
Cuotas laborales,Pasivo/acreedor,Balance General/Balance de Saldos,Cuotas laborales
Cuotas laborales por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Cuotas laborales por pagar
Cuotas patronales fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Cuotas patronales fábrica
Cuotas patronales administración,Gasto/deudor,Estado de Resultados/Balance de Saldos,Cuotas patronales administración
Cuotas patronales sala de ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Cuotas patronales sala de ventas
Cuotas patronales por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Cuotas patronales por pagar
Cuenta promesa,Activo/Pasivo/deudor/acreedor,Balance General/Balance de Saldos,Cuenta promesa
Débito fiscal,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Débito fiscal
Depósitos en garantía,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Depósitos en garantía
Depreciación fábrica,Pérdida/deudor,Costo de Producción/Estado de Resultados/Balance de Saldos,Depreciación fábrica
Depreciación administración,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación administración
Depreciación sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación sala de ventas
Depreciación construcción fábrica,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación construcción fábrica
Depreciación construcción de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación construcción de oficina
Depreciación construcción de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación construcción de sala de ventas
Depreciación edificios fábrica,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación edificios fábrica
Depreciación edificios de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación edificios de oficina
Depreciación edificios de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación edificios de sala de ventas
Depreciación inmuebles de fábrica,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación inmuebles de fábrica
Depreciación inmuebles de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación inmuebles de oficina
Depreciación inmuebles de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación inmuebles de sala de ventas
Depreciación herramientas de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación herramientas de oficina
Depreciación herramientas fábrica,Pérdida/deudor,Costo de Producción/Estado de Resultados/Balance de Saldos,Depreciación herramientas fábrica
Depreciación herramientas sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación herramientas sala de ventas
Depreciación vehículos de reparto,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación vehículos de reparto
Depreciación vehículos de fábrica,Pérdida/deudor,Costo de Producción/Estado de Resultados/Balance de Saldos,Depreciación vehículos de fábrica
Depreciación vehículos de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación vehículos de oficina
Depreciación vehículos de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación vehículos de sala de ventas
Depreciación equipo de computación,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación equipo de computación
Depreciación equipo de computación fábrica,Pérdida/deudor,Costo de Producción/Estado de Resultados/Balance de Saldos,Depreciación equipo de computación fábrica
Depreciación equipo de computación sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación equipo de computación sala de ventas
Depreciación sistemas informáticos,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Depreciación sistemas informáticos
Derecho de llave,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Derecho de llave
Descuentos concedidos,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Descuentos concedidos
Descuento sobre acciones,Pasivo/acreedor,Balance General/Balance de Saldos,Descuento sobre acciones
Descuento sobre ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Descuento sobre ventas
Descuento sobre compras,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Descuento sobre compras
Descuento sobre compras de materia prima,Ganancia/acreedor,Costo de Producción/Estado de Resultados/Balance de Saldos,Descuento sobre compras de materia prima
Descuentos percibidos,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Descuentos percibidos
Deudores,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Deudores
Deudores diversos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Deudores diversos
Deudores empleados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Deudores empleados
Devolución y rebaja sobre ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Devolución y rebaja sobre ventas
Devolución y rebaja sobre compras,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Devolución y rebaja sobre compras
Devolución y rebaja sobre compras de materia prima,Ganancia/acreedor,Costo de Producción/Estado de Resultados/Balance de Saldos,Devolución y rebaja sobre compras de materia prima
Dividendos percibidos,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Dividendos percibidos
Dividendos no retirados,Pasivo/acreedor,Balance General/Balance de Saldos,Dividendos no retirados
Dividendos por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Dividendos por pagar
Dividendos ganados,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Dividendos ganados
Dividendos por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Dividendos por cobrar
Divisas adquiridas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Divisas adquiridas
Documentos por cobrar a corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Documentos por cobrar a corto plazo
Documentos por cobrar a largo plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Documentos por cobrar a largo plazo
Documentos por pagar a corto plazo,Pasivo/acreedor,Balance General/Balance de Saldos,Documentos por pagar a corto plazo
Documentos por pagar a largo plazo,Pasivo/acreedor,Balance General/Balance de Saldos,Documentos por pagar a largo plazo
Documentos endosados,Pasivo/acreedor,Balance General/Balance de Saldos,Documentos endosados
Documentos descontados,Pasivo/acreedor,Balance General/Balance de Saldos,Documentos descontados
Documentos por cobrar descontados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Documentos por cobrar descontados
Donativos,Pérdida,Estado de Resultados,Donativos
Donativos pagados,Pérdida,Estado de Resultados,Donativos pagados
Donativos por pagar,Pasivo,Balance General,Donativos por pagar
Donativos percibidos,Ganancia,Estado de Resultados,Donativos percibidos
Edificios,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Edificios
Efectos descontados,Pasivo,Balance General,Efectos descontados
Efectos endosados,Pasivo,Balance General,Efectos endosados
Efectos por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Efectos por cobrar
Efectos por cobrar a corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Efectos por cobrar a corto plazo
Efectos por cobrar a largo plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Efectos por cobrar a largo plazo
Efectos por pagar,Pasivo,Balance General,Efectos por pagar
Efectos por pagar a corto plazo,Pasivo,Balance General,Efectos por pagar a corto plazo
Efectos por pagar a largo plazo,Pasivo,Balance General,Efectos por pagar a largo plazo
Efectos retenidos sobre facturas especiales,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Efectos retenidos sobre facturas especiales
Energía eléctrica de fábrica,Gasto,Costo de Producción,Energía eléctrica de fábrica
Energía eléctrica de oficina,Gasto,Estado de Resultados,Energía eléctrica de oficina
Energía eléctrica de sala de ventas,Gasto,Estado de Resultados,Energía eléctrica de sala de ventas
Envases en departamento de producción,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Envases en departamento de producción
Equipo de computación,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Equipo de computación
Equipo de reparto,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Equipo de reparto
Especies fiscales,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Especies fiscales
Estimación para cuentas incobrables,Contra activo,Balance General,Estimación para cuentas incobrables
Estimación para cuentas malas,Contra activo,Balance General,Estimación para cuentas malas
Existencia en caja,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Existencia en caja
Fletes sobre compras,Gasto,Costo de Producción/Estado de Resultados,Fletes sobre compras
Fletes sobre compras de materia prima,Gasto,Costo de Producción,Fletes sobre compras de materia prima
Fórmulas patentadas,Activo intangible/deudor,Balance General/Balance de Saldos,Fórmulas patentadas
Fuerza motriz,Gasto,Estado de Resultados,Fuerza motriz
Fuerza motriz de fábrica,Gasto,Costo de Producción,Fuerza motriz de fábrica
Fuerza motriz de sala de ventas,Gasto,Estado de Resultados,Fuerza motriz de sala de ventas
Fuerza motriz de oficina,Gasto,Estado de Resultados,Fuerza motriz de oficina
Gastos diversos fábrica,Gasto,Costo de Producción,Gastos diversos fábrica
Gastos diversos administración,Gasto,Estado de Resultados,Gastos diversos administración
Gastos diversos sala de ventas,Gasto,Estado de Resultados,Gastos diversos sala de ventas
Gastos generales,Gasto,Estado de Resultados,Gastos generales
Gastos misceláneos fábrica,Gasto,Costo de Producción,Gastos misceláneos fábrica
Gastos misceláneos administración,Gasto,Estado de Resultados,Gastos misceláneos administración
Gastos misceláneos sala de ventas,Gasto,Estado de Resultados,Gastos misceláneos sala de ventas
Gastos publicitarios,Gasto,Estado de Resultados,Gastos publicitarios
Gastos sobre compras,Gasto,Costo de Producción/Estado de Resultados,Gastos sobre compras
Gastos sobre compras de materia prima,Gasto,Costo de Producción,Gastos sobre compras de materia prima
Grasas y aceites en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Grasas y aceites en existencia
Grasas y aceites consumidos,Gasto,Costo de Producción/Estado de Resultados,Grasas y aceites consumidos
Grasas y aceites consumidos fábrica,Gasto,Costo de Producción,Grasas y aceites consumidos fábrica
Grasas y aceites consumidos sala de ventas,Gasto,Estado de Resultados,Grasas y aceites consumidos sala de ventas
Herramientas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Herramientas
Hipotecas,Pasivo,Balance General,Hipotecas
Hipotecas a corto plazo,Pasivo,Balance General,Hipotecas a corto plazo
Hipotecas a largo plazo,Pasivo a Largo Plazo/deudor,Balance General/Balance de Saldos,Hipotecas a largo plazo
IGSS por pagar,Pasivo/deudor,Balance General/Balance de Saldos,IGSS por pagar
IGSS laboral,Gasto/pérdida,Estado de Resultados/Costo de Producción,IGSS laboral
Impuestos aduanales sobre compras,Gasto/pérdida,Costo de Producción/Estado de Resultados,Impuestos aduanales sobre compras
Impuestos aduanales sobre compras de materia prima,Gasto/pérdida,Costo de Producción,Impuestos aduanales sobre compras de materia prima
Impuestos y contribuciones de fábrica,Gasto/pérdida,Costo de Producción,Impuestos y contribuciones de fábrica
Impuestos y contribuciones de administración,Gasto/pérdida,Estado de Resultados,Impuestos y contribuciones de administración
Impuestos y contribuciones de sala de ventas,Gasto/pérdida,Estado de Resultados,Impuestos y contribuciones de sala de ventas
Impuestos y contribuciones por pagar,Pasivo/deudor,Balance General/Balance de Saldos,Impuestos y contribuciones por pagar
ISR,Gasto/pérdida,Estado de Resultados,ISR
ISR por pagar,Pasivo/deudor,Balance General/Balance de Saldos,ISR por pagar
ISR pagado por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. ISR pagado por anticipado
ISO por acreditar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. ISO por acreditar
ISO por pagar,Pasivo/deudor,Balance General/Balance de Saldos,ISO por pagar
ISR retenido sobre facturas especiales,Pasivo/deudor,Balance General/Balance de Saldos,ISR retenido sobre facturas especiales
ISR retenido sobre ganancias de capital,Pasivo/deudor,Balance General/Balance de Saldos,ISR retenido sobre ganancias de capital
ISR retenido sobre ventas por acreditar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. ISR retenido sobre ventas por acreditar
ISR retenido sobre pago de dividendos,Pasivo/deudor,Balance General/Balance de Saldos,ISR retenido sobre pago de dividendos
ISR sobre ganancias de capital,Gasto/pérdida,Estado de Resultados,ISR sobre ganancias de capital
ISR trimestral,Gasto/pérdida,Estado de Resultados,ISR trimestral
Indemnización,Gasto/pérdida,Estado de Resultados/Costo de Producción,Indemnización
Inmuebles,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inmuebles
Intereses gasto,Gasto/pérdida,Estado de Resultados,Intereses gasto
Intereses por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Intereses por cobrar
Intereses percibidos,Ganancia,Estado de Resultados,Intereses percibidos
Intereses no devengados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Intereses no devengados
Intereses pagados por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Intereses pagados por anticipado
Inversiones a corto plazo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inversiones a corto plazo
Inversiones a largo plazo,Activo a Largo Plazo/deudor,Balance General/Balance de Saldos,Inversiones a largo plazo
Inversiones en valores,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inversiones en valores
Inventario de mercaderías,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inventario de mercaderías
Inventarios,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inventarios
Inventarios de materias primas,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Inventarios de materias primas
Inventarios de productos terminados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inventarios de productos terminados
Inventarios en consignación,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Inventarios en consignación
IVA acreditable,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. IVA acreditable
IVA débito,Pasivo/deudor,Balance General/Balance de Saldos,IVA débito
IVA por acreditar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. IVA por acreditar
IVA por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. IVA por cobrar
IVA retenido sobre facturas especiales,Pasivo/deudor,Balance General/Balance de Saldos,IVA retenido sobre facturas especiales
IVA acreedor,Pasivo/deudor,Balance General/Balance de Saldos,IVA acreedor
Mano de obra directa,Gasto/pérdida,Costo de Producción,Mano de obra directa
Marcas y patentes,Activo Intangible/deudor,Balance General/Balance de Saldos,Marcas y patentes
Materia prima,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Materia prima
Materia prima estropeada,Pérdida,Costo de Producción/Estado de Resultados,Materia prima estropeada
Materia prima inservible,Pérdida,Costo de Producción/Estado de Resultados,Materia prima inservible
Materia prima en aduana,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Materia prima en aduana
Materia prima en tránsito,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Materia prima en tránsito
Material de empaque en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Material de empaque en existencia
Material de empaque consumido,Gasto/pérdida,Costo de Producción/Estado de Resultados,Material de empaque consumido
Material de empaque consumido en fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Material de empaque consumido en fábrica
Mercaderías enviadas en consignación,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Mercaderías enviadas en consignación
Mercaderías recibidas en consignación,Pasivo/acreedor,Balance General/Balance de Saldos,Mercaderías recibidas en consignación
Mercaderías,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Mercaderías
Mercaderías en aduana,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Mercaderías en aduana
Mobiliario y equipo,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Mobiliario y equipo
Mercadería inservible,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Mercadería inservible
Multas y recargos,Gasto/deudor,Estado de Resultados/Balance de Saldos,Multas y recargos
Papelería y útiles en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Papelería y útiles en existencia
Papelería y útiles consumidos,Gasto/deudor,Estado de Resultados/Balance de Saldos,Papelería y útiles consumidos
Pérdidas acumuladas,Pérdida/deudor,Balance General/Balance de Saldos,Pérdidas acumuladas
Pérdida de capital,Pérdida/deudor,Balance General/Balance de Saldos,Pérdida de capital
Pérdida en negociación de activos,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Pérdida en negociación de activos
Préstamos bancarios,Pasivo/acreedor,Balance General/Balance de Saldos,Préstamos bancarios
Préstamos bancarios a corto plazo,Pasivo/acreedor,Balance General/Balance de Saldos,Préstamos bancarios a corto plazo
Préstamos bancarios a largo plazo,Pasivo a Largo Plazo/acreedor,Balance General/Balance de Saldos,Préstamos bancarios a largo plazo
Primas de seguros,Gasto/deudor,Estado de Resultados/Balance de Saldos,Primas de seguros
Prima sobre acciones,Pasivo/acreedor,Balance General/Balance de Saldos,Prima sobre acciones
Productos percibidos no devengados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Productos percibidos no devengados
Productos por cobrar,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Productos por cobrar
Publicidad,Gasto/deudor,Estado de Resultados/Balance de Saldos,Publicidad
Proveedores,Pasivo/acreedor,Balance General/Balance de Saldos,Proveedores
Proveeduría en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Proveeduría en existencia
Provisión para cuentas incobrables,Contra activo,Balance General,Provisión para cuentas incobrables
Publicidad pagada por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Publicidad pagada por anticipado
Propaganda pagada por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Propaganda pagada por anticipado
Recuperación de créditos,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Recuperación de créditos
Regalías,Gasto/deudor,Estado de Resultados/Balance de Saldos,Regalías
Regalías percibidas,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Regalías percibidas
Renombre comercial,Activo Intangible/deudor,Balance General/Balance de Saldos,Renombre comercial
Reparación y mantenimiento de maquinaria,Gasto/deudor,Estado de Resultados/Balance de Saldos,Reparación y mantenimiento de maquinaria
Repuestos y accesorios en existencia,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Repuestos y accesorios en existencia
Repuestos y accesorios consumidos en fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Repuestos y accesorios consumidos en fábrica
Reservas,Pasivo/acreedor,Balance General/Balance de Saldos,Reservas
Reserva de capital,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva de capital
Reserva legal,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva legal
Reserva para contingencias,Pasivo/acreedor,Balance General/Balance de Saldos,Reserva para contingencias
Reserva para depreciación,Contra activo,Balance General,Reserva para depreciación
